                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5291,                 6.4754,                 1.5248,                0.00047,                0.07635,                 0.0402,                0.02683,                 2.0805,                 4.7553,                 1.3562,             0.00040675,             0.00040675,             0.00040675
                      1,                 1.6314,                 3.4005,                 1.0434,                0.42733,                0.35936,                0.37791,                0.26084,                 1.2928,                 2.6534,                0.90967,             0.00078265,             0.00078265,             0.00078265
                      2,                 1.3828,                 2.4898,                0.92814,                0.68401,                0.48893,                0.62348,                0.44317,                 1.0386,                 1.6845,                 0.8639,              0.0011173,              0.0011173,              0.0011173
                      3,                 1.2673,                 2.0606,                0.91338,                0.71285,                0.65247,                0.73377,                0.52399,                 0.9475,                 1.3318,                0.84527,              0.0010644,              0.0010644,              0.0010644
                      4,                 1.2573,                 1.8132,                 0.9031,                0.85583,                0.65748,                0.77817,                0.53608,                0.96887,                 1.1216,                0.84477,              0.0010644,              0.0010644,              0.0010644
                      5,                 1.1416,                  1.543,                0.88652,                0.94786,                0.68557,                0.84137,                0.61869,                0.83814,                0.86176,                0.83007,              0.0010025,              0.0010025,              0.0010025
                      6,                 1.0803,                 1.4037,                0.86552,                0.92528,                0.67671,                0.83515,                0.60187,                0.84687,                 0.8555,                0.82207,             0.00094062,             0.00094062,             0.00094062
                      7,                 1.0518,                 1.2845,                0.87043,                0.90267,                0.70891,                 0.8539,                0.61596,                  0.869,                0.87608,                0.82432,             0.00087875,             0.00087875,             0.00087875
                      8,                 1.0376,                  1.195,                0.85252,                0.92086,                0.74873,                0.89327,                  0.644,                0.82819,                0.76089,                0.82003,             0.00081688,             0.00081688,             0.00081688
                      9,                0.98809,                 1.0667,                0.84976,                0.92025,                0.77823,                0.92107,                0.67172,                0.81023,                0.72112,                0.81429,               0.000755,               0.000755,               0.000755
                     10,                 1.0007,                 1.0356,                 0.8552,                0.89286,                0.80712,                0.90839,                0.68011,                0.82289,                0.70865,                0.81718,             0.00069313,             0.00069313,             0.00069313
                     11,                0.96934,                 1.0017,                0.84135,                0.91798,                0.82542,                0.91002,                0.68375,                0.80236,                0.68645,                0.81635,             0.00063125,             0.00063125,             0.00063125
                     12,                0.93433,                0.92552,                0.84137,                0.96635,                 0.7942,                0.91446,                0.67121,                0.78179,                0.64534,                0.81542,             0.00056938,             0.00056938,             0.00056938
                     13,                0.92518,                0.89186,                0.84633,                0.97233,                0.79761,                0.92539,                0.69751,                0.76917,                0.59013,                 0.8098,              0.0005075,              0.0005075,              0.0005075
                     14,                 0.9625,                0.89398,                0.84153,                0.95282,                0.79995,                0.92197,                0.70286,                0.81241,                0.58774,                0.80783,             0.00044563,             0.00044563,             0.00044563
                     15,                0.90582,                0.84379,                0.84376,                0.96246,                0.80681,                0.92977,                0.69178,                0.77189,                0.56394,                0.80797,             0.00038375,             0.00038375,             0.00038375
                     16,                0.90008,                0.82566,                0.83882,                0.93814,                0.82156,                0.93368,                0.70035,                0.78301,                0.54571,                0.80836,             0.00032188,             0.00032188,             0.00032188
                     17,                0.90785,                0.79074,                0.83785,                0.89701,                0.85767,                0.93644,                 0.6977,                0.77864,                0.52904,                 0.8077,                0.00026,                0.00026,                0.00026
                     18,                 0.8896,                0.79957,                0.83529,                0.89774,                0.84724,                  0.936,                0.70194,                0.74569,                0.51634,                0.80607,             0.00019813,             0.00019813,             0.00019813
                     19,                0.88505,                0.77738,                0.83408,                0.94846,                0.81761,                0.93704,                0.70039,                0.77207,                 0.5119,                0.80757,             0.00013625,             0.00013625,             0.00013625
